"Situação";"gasto";"num_obras";"pactuado";"perc_gasto_realizado";"perc_obras";"perc_gasto_pactuado"
"Concluída";5661273265,8781;4830;5892304153,72164;0,56;0,37;0,42
"Contratação";74380534,917123;238;256041123,694265;0,01;0,02;0,02
"Em Reformulação";142393483,588361;544;298093047,79228;0,01;0,04;0,02
"Execução";2267352936,68005;3352;4728524247,76725;0,22;0,26;0,33
"Inacabada";545900682,705076;624;746923876,527361;0,05;0,05;0,05
"Licitação";193213115,529398;576;235933107,992966;0,02;0,04;0,02
"Obra Cancelada";193543696,198785;642;227564490,202356;0,02;0,05;0,02
"Paralisada";531898508,067179;762;1051154219,9221;0,05;0,06;0,07
"Planejamento pelo proponente";471997350,339863;1357;711211330,630594;0,05;0,1;0,05
"total";10081953573,9039;12925;14147749598,2508;1;1;1
