"situacao";"pagto";"obras";"perc_pagto";"pecr_obras"
"Concluída";5859873748,34192;4333;0,61;0,46
"Contratação";75573999,721999;155;0,01;0,02
"Em Reformulação";133891927,307141;315;0,01;0,03
"Execução";1637411832,71307;2037;0,17;0,22
"Inacabada";549056548,519725;566;0,06;0,06
"Licitação";176142277,428678;330;0,02;0,04
"Obra Cancelada";197685775,627137;314;0,02;0,03
"Paralisada";481235408,484019;584;0,05;0,06
"Planejamento pelo proponente";545390840,828948;727;0,06;0,08
"total";9656262358,97264;9361;1;1
